genes	logFC	logCPM	PValue	FDR	symbol	entrez
ENSG00000204262.14	ENSG00000204262.14	1.7844529578057	9.09671443445698	1.12223257537951e-26	9.38903806460864e-26	COL5A2	1290
ENSG00000122218.16	ENSG00000122218.16	0.787263231932905	8.86463949153329	1.13095818641589e-26	9.45794382908319e-26	COPA	1314
ENSG00000171502.15	ENSG00000171502.15	1.56912367331098	1.71786773924658	1.13155817758844e-26	9.45886667012264e-26	COL24A1	255631
ENSG00000130224.15	ENSG00000130224.15	-1.23044665781496	1.4419459483521	1.14754448185421e-26	9.58834961092544e-26	LRCH2	57631
ENSG00000174744.14	ENSG00000174744.14	1.01412668268205	5.76365788884694	1.15871999422698e-26	9.6775412228607e-26	BRMS1	25855
ENSG00000188229.6	ENSG00000188229.6	0.917147996936418	8.05916946203078	1.18581348348245e-26	9.89954402502763e-26	TUBB4B	10383
ENSG00000127743.6	ENSG00000127743.6	-2.07284200663284	0.39450752902927	1.19707472851449e-26	9.9892395703857e-26	IL17B	27190
ENSG00000091073.19	ENSG00000091073.19	1.03045215004208	4.45654394746358	1.20738491145975e-26	1.00709247493866e-25	DTX2	113878
ENSG00000204386.12	ENSG00000204386.12	0.778449653879976	6.69435325004145	1.22630900292557e-26	1.02243579277152e-25	NEU1	4758
ENSG00000147536.12	ENSG00000147536.12	1.84250568138019	2.96780936077896	1.23189120402289e-26	1.02664686278318e-25	GINS4	84296
ENSG00000266970.1	ENSG00000266970.1	2.20340088841965	-0.0820432912720318	1.24125263494227e-26	1.03400251840512e-25	SOCS3-DT	101928674
ENSG00000169783.13	ENSG00000169783.13	2.48414273555949	4.66173572545541	1.27136135338085e-26	1.0586275269229e-25	LINGO1	84894
ENSG00000213088.12	ENSG00000213088.12	-2.04303961569604	5.27218912759114	1.27658624025981e-26	1.0625201632632e-25	ACKR1	2532
ENSG00000155659.15	ENSG00000155659.15	-1.34573349433561	4.41530431369517	1.31247244568035e-26	1.09191829051046e-25	VSIG4	11326
ENSG00000181085.15	ENSG00000181085.15	2.87361606034233	3.99138245337632	1.33814680157042e-26	1.11279896309674e-25	MAPK15	225689
ENSG00000236404.10	ENSG00000236404.10	-1.73380810429771	0.221745295793748	1.37857391067835e-26	1.1459247334976e-25	VLDLR-AS1	401491
ENSG00000167130.18	ENSG00000167130.18	0.70247367968289	4.58068845957515	1.41674983120755e-26	1.17715153717279e-25	DOLPP1	57171
ENSG00000150551.11	ENSG00000150551.11	2.4338742054595	-0.42336281034461	1.49660585492457e-26	1.24296783772282e-25	LYPD1	116372
ENSG00000154582.17	ENSG00000154582.17	0.938227462719383	5.8209648752995	1.50854573319505e-26	1.25234578744572e-25	ELOC	6921
ENSG00000167962.14	ENSG00000167962.14	0.929965036466759	5.07624359330472	1.52076592055793e-26	1.2619482840781e-25	ZNF598	90850
ENSG00000173540.14	ENSG00000173540.14	0.847001206890595	4.77630237490402	1.5263419471021e-26	1.26603150425583e-25	GMPPB	29925
ENSG00000132026.14	ENSG00000132026.14	6.09437206633301	0.472978849689487	1.52987479753678e-26	1.26841722484187e-25	RTBDN	83546
ENSG00000167191.12	ENSG00000167191.12	-1.20939320722246	5.36671947398874	1.53735973585682e-26	1.27407616376156e-25	GPRC5B	51704
ENSG00000186907.8	ENSG00000186907.8	1.49533338063916	1.79541077902231	1.5652461880809e-26	1.29663061155003e-25	RTN4RL2	349667
ENSG00000134532.19	ENSG00000134532.19	-1.61777343807178	2.30854688531543	1.59629132417352e-26	1.32121490147318e-25	SOX5	6660
ENSG00000265354.4	ENSG00000265354.4	0.653241571361544	5.88332669949414	1.61612841456423e-26	1.33706075856753e-25	TIMM23	100287932
ENSG00000130477.15	ENSG00000130477.15	4.25425024197272	2.37181195839398	1.65536332340359e-26	1.36893444698248e-25	UNC13A	23025
ENSG00000014138.9	ENSG00000014138.9	1.20707863049635	2.5485113869076	1.85227022650913e-26	1.53111494376138e-25	POLA2	23649
ENSG00000136100.14	ENSG00000136100.14	-0.674401374356535	5.6982815769912	1.89876469453724e-26	1.56887666249232e-25	VPS36	51028
ENSG00000203879.12	ENSG00000203879.12	0.778797840311588	7.47685140087461	1.90856402908676e-26	1.57629926951253e-25	GDI1	2664
ENSG00000163762.7	ENSG00000163762.7	-1.27133370877148	4.68759159492447	1.93738926304565e-26	1.59873924748039e-25	TM4SF18	116441
ENSG00000165233.18	ENSG00000165233.18	1.09694121002636	4.97877923774567	1.93698929562319e-26	1.59873924748039e-25	CARD19	84270
ENSG00000260192.3	ENSG00000260192.3	-2.3823132326156	-2.16562194996376	2.02686921922949e-26	1.6718642005583e-25	LINC02240	101927460
ENSG00000110079.18	ENSG00000110079.18	-1.22387450674658	3.77815295924739	2.1158242107489e-26	1.74449390112024e-25	MS4A4A	51338
ENSG00000110422.12	ENSG00000110422.12	-0.799334564145065	7.02790715232674	2.14563115571745e-26	1.76831496015997e-25	HIPK3	10114
ENSG00000176101.12	ENSG00000176101.12	1.06005789667195	5.67010350332535	2.17064356434417e-26	1.78740376709295e-25	SSNA1	8636
ENSG00000220323.4	ENSG00000220323.4	1.74576450456158	1.64428260644624	2.17280727637466e-26	1.78842313442717e-25	H2BC19P	337874
ENSG00000181610.13	ENSG00000181610.13	0.912462614208193	5.81962962613192	2.20360488008823e-26	1.81299996054278e-25	MRPS23	51649
ENSG00000164078.13	ENSG00000164078.13	1.53499191614269	4.42088558923949	2.2050278366245e-26	1.81339837155862e-25	MST1R	4486
ENSG00000167967.16	ENSG00000167967.16	1.16384630606253	5.22583295829807	2.23453212049871e-26	1.83688048952315e-25	E4F1	1877
ENSG00000009780.16	ENSG00000009780.16	-0.521362293667356	3.99857526744922	2.2610464562494e-26	1.85788581207256e-25	FAM76A	199870
ENSG00000164305.19	ENSG00000164305.19	0.682084254127675	5.41068953762319	2.32384929699496e-26	1.90867860201312e-25	CASP3	836
ENSG00000161544.10	ENSG00000161544.10	-1.13168178094122	3.76447245063878	2.38246442687606e-26	1.95599013167836e-25	CYGB	114757
ENSG00000176956.13	ENSG00000176956.13	2.48913635475818	-0.19699599222257	2.41679034749274e-26	1.98332862926358e-25	LY6H	4062
ENSG00000103490.14	ENSG00000103490.14	1.83988942300328	5.0570462635443	2.41974868783076e-26	1.9849131699157e-25	PYCARD	29108
ENSG00000101222.12	ENSG00000101222.12	2.58109373482507	1.68373818845268	2.4318582816422e-26	1.99399992719711e-25	SPEF1	25876
ENSG00000156860.16	ENSG00000156860.16	0.737774481020363	6.72569624544284	2.4328958675419e-26	1.99400434319789e-25	FBRS	64319
ENSG00000144857.14	ENSG00000144857.14	-1.43799143641138	4.97872780644172	2.44614941326467e-26	2.00316720497868e-25	BOC	91653
ENSG00000169627.9	ENSG00000169627.9	2.00294319863748	-0.800320169878811	2.54110534776441e-26	2.08004547068275e-25	BOLA2	552900
ENSG00000129654.8	ENSG00000129654.8	4.74830486265676	2.78259620078565	2.7112063232994e-26	2.21834323394739e-25	FOXJ1	2302
ENSG00000136490.9	ENSG00000136490.9	1.88003793237881	4.49298855102538	2.76870834237321e-26	2.26443301261498e-25	LIMD2	80774
ENSG00000178295.15	ENSG00000178295.15	0.994808697410431	4.27290580613276	2.853444910984e-26	2.33176179316366e-25	GEN1	348654
ENSG00000167862.10	ENSG00000167862.10	0.911733740578901	4.76803238018726	2.98108584051325e-26	2.43503662862727e-25	MRPL58	3396
ENSG00000179750.16	ENSG00000179750.16	2.43411514389998	2.73791875893724	3.00693013705674e-26	2.45510889212435e-25	APOBEC3B	9582
ENSG00000048342.17	ENSG00000048342.17	-0.861268886438538	4.02289169193693	3.03895732186944e-26	2.47857006871123e-25	CC2D2A	57545
ENSG00000137142.5	ENSG00000137142.5	3.09253495801555	1.78942674982964	3.03951366227193e-26	2.47857006871123e-25	IGFBPL1	347252
ENSG00000163492.15	ENSG00000163492.15	-1.64704649818382	-0.343001862975438	3.03707902761033e-26	2.47857006871123e-25	CCDC141	285025
ENSG00000042493.16	ENSG00000042493.16	1.21784307503144	7.66528975533075	3.07262590168056e-26	2.50451422652595e-25	CAPG	822
ENSG00000106789.13	ENSG00000106789.13	1.34149685648578	5.81313696133602	3.08447843961293e-26	2.51311490917092e-25	CORO2A	7464
ENSG00000168994.14	ENSG00000168994.14	-1.03925098452278	5.07999419650866	3.11231884902412e-26	2.53472915368667e-25	PXDC1	221749
ENSG00000240204.3	ENSG00000240204.3	1.9220754026984	1.86249337516913	3.17075792287074e-26	2.58014749595691e-25	SMKR1	100287482
ENSG00000125534.10	ENSG00000125534.10	1.2762769360685	8.30732000221616	3.18917806569344e-26	2.59404386833961e-25	PPDPF	79144
ENSG00000161671.17	ENSG00000161671.17	0.880333470371371	6.71368387323505	3.23046058494618e-26	2.62651673316457e-25	EMC10	284361
ENSG00000175471.19	ENSG00000175471.19	-1.09508642376028	3.81184789554985	3.23420030213038e-26	2.62845104907676e-25	MCTP1	79772
ENSG00000139618.16	ENSG00000139618.16	1.40401646484562	3.58097293661211	3.23699851993919e-26	2.62961889857802e-25	BRCA2	675
ENSG00000047648.23	ENSG00000047648.23	-1.19790431798081	2.36871251463073	3.27008782524463e-26	2.65538279142816e-25	ARHGAP6	395
ENSG00000089693.11	ENSG00000089693.11	0.818379568750939	7.83156016784042	3.32713811293817e-26	2.70057370024116e-25	MLF2	8079
ENSG00000125454.12	ENSG00000125454.12	1.02281968360492	2.83221386524373	3.35309770663191e-26	2.72050153283138e-25	SLC25A19	60386
ENSG00000151835.16	ENSG00000151835.16	-1.15764240512125	4.63101517611256	3.44143719126452e-26	2.79100267257968e-25	SACS	26278
ENSG00000172375.14	ENSG00000172375.14	0.83671161414188	4.67840144745922	3.50995260106467e-26	2.84537408087987e-25	C2CD2L	9854
ENSG00000101146.13	ENSG00000101146.13	0.839704922159283	5.76088983999785	3.53380316231259e-26	2.86350710946118e-25	RAE1	8480
ENSG00000156284.6	ENSG00000156284.6	-2.1165144954753	3.99544133622364	3.6667791250238e-26	2.97001421958951e-25	CLDN8	9073
ENSG00000137075.18	ENSG00000137075.18	-0.704346615906468	5.86902818107201	3.74154018942819e-26	3.02929896812128e-25	RNF38	152006
ENSG00000111057.11	ENSG00000111057.11	1.61568897644526	9.33391808266919	3.76660612636453e-26	3.0483157582367e-25	KRT18	3875
ENSG00000159261.12	ENSG00000159261.12	2.5621819472934	-0.70095370539799	3.81742683104483e-26	3.08815123626985e-25	CLDN14	23562
ENSG00000140450.9	ENSG00000140450.9	-1.01671811083695	4.91907064699882	3.92885729030858e-26	3.17696379799838e-25	ARRDC4	91947
ENSG00000128011.5	ENSG00000128011.5	1.5909433236895	3.01756045664141	4.02537314805467e-26	3.25364679808034e-25	LRFN1	57622
ENSG00000197774.13	ENSG00000197774.13	1.63669965156809	4.00536880278961	4.03249148044172e-26	3.25803724045057e-25	EME2	197342
ENSG00000188321.13	ENSG00000188321.13	-0.818315576920475	3.60708759827379	4.13373073413343e-26	3.3384368863708e-25	ZNF559	84527
ENSG00000146648.19	ENSG00000146648.19	-1.80568771427305	6.27076519072901	4.19659979255318e-26	3.38637906401597e-25	EGFR	1956
ENSG00000127528.6	ENSG00000127528.6	-1.23157758641637	5.37029177111478	4.31022992239877e-26	3.47516784811767e-25	KLF2	10365
ENSG00000106537.8	ENSG00000106537.8	1.54057411175555	8.34090770750021	4.36050241115088e-26	3.51423385809815e-25	TSPAN13	27075
ENSG00000169951.10	ENSG00000169951.10	0.774535240458281	3.68705914787542	4.70157712164089e-26	3.78753406321346e-25	ZNF764	92595
ENSG00000185112.6	ENSG00000185112.6	-0.983267549030002	3.43538637522262	4.70904630560957e-26	3.79196984292479e-25	FAM43A	131583
ENSG00000139572.4	ENSG00000139572.4	1.92663926104379	1.07797108770467	4.95255211575047e-26	3.98307251340831e-25	GPR84	53831
ENSG00000188133.6	ENSG00000188133.6	4.35691655644946	-0.259645110462189	4.97035056647419e-26	3.99572335593626e-25	TMEM215	401498
ENSG00000226025.9	ENSG00000226025.9	3.84308079019034	0.371808203008422	4.98712704533325e-26	4.00754244017254e-25	LGALS17A	400696
ENSG00000102349.18	ENSG00000102349.18	-1.09238420018794	4.16187135018859	5.24616573228069e-26	4.2139471773887e-25	KLF8	11279
ENSG00000105707.14	ENSG00000105707.14	2.32407044209965	5.43561543868482	5.26716376353144e-26	4.22905526117624e-25	HPN	3249
ENSG00000113328.19	ENSG00000113328.19	-0.745964668567022	6.55472024886767	5.29396366754636e-26	4.24880723430248e-25	CCNG1	900
ENSG00000164111.15	ENSG00000164111.15	-0.618612209443945	8.4959421180528	5.32161951234505e-26	4.26922947423097e-25	ANXA5	308
ENSG00000184489.12	ENSG00000184489.12	1.23918204302744	5.16764086159118	5.33455583409445e-26	4.27783103374996e-25	PTP4A3	11156
ENSG00000103591.13	ENSG00000103591.13	0.779074571129886	6.3965954582474	5.64350358992969e-26	4.52370134233451e-25	AAGAB	79719
ENSG00000141985.9	ENSG00000141985.9	0.772715315519923	6.37503872359181	5.67265261097537e-26	4.54518055324854e-25	SH3GL1	6455
ENSG00000104490.18	ENSG00000104490.18	-1.54405521183844	5.27511932741737	5.69944107180653e-26	4.56475135261852e-25	NCALD	83988
ENSG00000087087.20	ENSG00000087087.20	0.703299742535795	6.86068322658843	5.76236658319042e-26	4.61323653767396e-25	SRRT	51593
ENSG00000053702.15	ENSG00000053702.15	-0.963801255327306	2.46455464234899	5.81360906143357e-26	4.65233222240156e-25	NRIP2	83714
ENSG00000104450.13	ENSG00000104450.13	1.29676537063921	4.28946668663925	6.26494955653144e-26	5.009366536965e-25	SPAG1	6674
ENSG00000180229.12	ENSG00000180229.12	-1.62057698019294	1.73858166750744	6.408906888561e-26	5.12235263852798e-25	HERC2P3	283755
ENSG00000125877.13	ENSG00000125877.13	0.914685092388601	5.53265319256669	6.47225708209334e-26	5.17084624945737e-25	ITPA	3704
ENSG00000186994.11	ENSG00000186994.11	-1.34707760457322	2.05096531665388	6.89790236412889e-26	5.50635032521661e-25	KANK3	256949
ENSG00000130762.15	ENSG00000130762.15	1.30203123668732	4.76002727087043	7.02144355311932e-26	5.6026537199157e-25	ARHGEF16	27237
ENSG00000095587.9	ENSG00000095587.9	2.0664151944653	0.30180393455743	7.19971599458842e-26	5.74016151809571e-25	TLL2	7093
ENSG00000184117.12	ENSG00000184117.12	0.874078130778184	6.11734492736712	7.27106648285116e-26	5.79465603612701e-25	NIPSNAP1	8508
ENSG00000153187.20	ENSG00000153187.20	0.485946918547472	9.38111428372499	7.41805524920381e-26	5.90936046614924e-25	HNRNPU	3192
ENSG00000130695.16	ENSG00000130695.16	0.984735331897302	4.62890293927665	7.5056748210661e-26	5.97669522643672e-25	CEP85	64793
ENSG00000220205.9	ENSG00000220205.9	-0.804879391536746	6.12805245368451	7.59028822466567e-26	6.04158170268197e-25	VAMP2	6844
ENSG00000187954.13	ENSG00000187954.13	1.06511465492852	5.87966317071621	7.76397633947597e-26	6.17728562298174e-25	CYHR1	50626
ENSG00000251151.2	ENSG00000251151.2	3.64103500233728	0.331325232737236	7.848030741403e-26	6.24159151347975e-25	HOXC-AS3	100874365
ENSG00000198125.13	ENSG00000198125.13	1.87100332159318	4.81028245907828	7.86453029423514e-26	6.25213976230594e-25	MB	4151
ENSG00000174469.23	ENSG00000174469.23	3.82465052693512	5.1636323914205	7.96172391452499e-26	6.32680306790595e-25	CNTNAP2	26047
ENSG00000175550.8	ENSG00000175550.8	1.22823441657882	6.28994640619047	7.9694525040858e-26	6.33034060336881e-25	DRAP1	10589
ENSG00000140983.14	ENSG00000140983.14	1.11770590279193	6.39921424435213	8.01985380451272e-26	6.36775732821935e-25	RHOT2	89941
ENSG00000144366.16	ENSG00000144366.16	-1.31596667409306	3.54902368767707	8.06877247641286e-26	6.40133662009625e-25	GULP1	51454
ENSG00000224958.6	ENSG00000224958.6	-2.56043868403962	-1.99800847989695	8.09344039320271e-26	6.41827099818924e-25	PGM5-AS1	572558
ENSG00000167004.13	ENSG00000167004.13	0.77168611864273	9.24601923924175	8.1618555472133e-26	6.46986973578443e-25	PDIA3	2923
ENSG00000151474.23	ENSG00000151474.23	-0.909035651001301	4.73277078110873	8.17164687503776e-26	6.47497433683263e-25	FRMD4A	55691
ENSG00000077420.16	ENSG00000077420.16	-1.09355157382664	4.35506591427206	8.17536705362674e-26	6.47526612308164e-25	APBB1IP	54518
ENSG00000133818.14	ENSG00000133818.14	-1.04825340598807	4.04569497691481	8.42770919896623e-26	6.67239697973892e-25	RRAS2	22800
ENSG00000163444.12	ENSG00000163444.12	0.644364031698734	5.71248900634768	8.54866015001762e-26	6.76538372708072e-25	TMEM183A	92703
ENSG00000197905.10	ENSG00000197905.10	1.22185987723896	4.12505826446531	8.59696079049202e-26	6.80082262697481e-25	TEAD4	7004
ENSG00000198952.8	ENSG00000198952.8	0.801220163800678	7.18306511983474	8.680704771751e-26	6.86425930334367e-25	SMG5	23381
ENSG00000143811.19	ENSG00000143811.19	0.91331792964912	5.41505778182212	9.60141386680595e-26	7.58920266280513e-25	PYCR2	29920
ENSG00000175215.11	ENSG00000175215.11	-0.63398674916442	8.0294348450424	9.87959183984431e-26	7.80588773669172e-25	CTDSP2	10106
ENSG00000170802.16	ENSG00000170802.16	-0.954113699880397	4.22146557220988	9.90856025404354e-26	7.82557510170127e-25	FOXN2	3344
ENSG00000197077.13	ENSG00000197077.13	-0.86968910065808	6.73298738886835	9.98070523062781e-26	7.87933239253241e-25	KIAA1671	85379
ENSG00000167094.16	ENSG00000167094.16	2.07248942889376	0.105554952116654	1.00033245717536e-25	7.8939634018438e-25	TTC16	158248
ENSG00000170540.15	ENSG00000170540.15	0.900351576716548	8.22144822403416	1.043461700394e-25	8.23094860278122e-25	ARL6IP1	23204
ENSG00000160714.10	ENSG00000160714.10	0.584179682521435	6.69652589864852	1.04542172788208e-25	8.24304364866365e-25	UBE2Q1	55585
ENSG00000188566.14	ENSG00000188566.14	0.850504758191785	4.03905345504336	1.0756153875135e-25	8.47765730558376e-25	NDOR1	27158
ENSG00000100985.7	ENSG00000100985.7	3.48304636695382	6.9096182789669	1.07872120062007e-25	8.49866890439583e-25	MMP9	4318
ENSG00000122592.8	ENSG00000122592.8	-1.81187507866143	0.214199639480995	1.09192251342078e-25	8.59916800418373e-25	HOXA7	3204
ENSG00000158555.15	ENSG00000158555.15	-1.20133713575677	4.59252173287254	1.1063971117152e-25	8.70960855913379e-25	GDPD5	81544
ENSG00000124019.10	ENSG00000124019.10	-1.16984854531378	1.38808945999758	1.14416645753452e-25	9.00326176238363e-25	FAM124B	79843
ENSG00000105438.9	ENSG00000105438.9	0.592704542454481	7.8618179758931	1.1472489191389e-25	9.02384145762428e-25	KDELR1	10945
ENSG00000180447.7	ENSG00000180447.7	-1.25894342079054	5.18097422136893	1.14831610400106e-25	9.02855942087602e-25	GAS1	2619
ENSG00000072952.19	ENSG00000072952.19	-1.00062502822399	4.4472146540205	1.18328420728915e-25	9.29592692818696e-25	IRAG1	10335
ENSG00000168350.8	ENSG00000168350.8	2.56021827573223	6.30385501089703	1.18899570996331e-25	9.33699964433789e-25	DEGS2	123099
ENSG00000100726.15	ENSG00000100726.15	1.21600064744039	5.69526388947879	1.21267613484591e-25	9.51908881469049e-25	TELO2	9894
ENSG00000213551.7	ENSG00000213551.7	0.917810648033937	3.66058883742096	1.28135696123984e-25	1.00500421344828e-24	DNAJC9	23234
ENSG00000214575.9	ENSG00000214575.9	-1.37436235310576	0.611322918722196	1.32348209459343e-25	1.03762285322061e-24	CPEB1	64506
ENSG00000164236.12	ENSG00000164236.12	-1.26373430843393	2.46771977047179	1.35296574050112e-25	1.06030799898583e-24	ANKRD33B	651746
ENSG00000072506.13	ENSG00000072506.13	0.926125531690745	6.39821278728012	1.38357667831549e-25	1.08385783745736e-24	HSD17B10	3028
ENSG00000073969.18	ENSG00000073969.18	0.836398183802415	6.02131502378352	1.38440106510217e-25	1.08406403630498e-24	NSF	4905
ENSG00000144230.16	ENSG00000144230.16	-1.90360201014389	-0.601602067953017	1.42230962911886e-25	1.11329730207934e-24	GPR17	2840
ENSG00000172354.10	ENSG00000172354.10	0.845576558751376	7.96919794717597	1.50181611193411e-25	1.17505401580977e-24	GNB2	2783
ENSG00000198331.11	ENSG00000198331.11	0.971946685839337	3.3807239960964	1.51038184247937e-25	1.18127758838123e-24	HYLS1	219844
ENSG00000185101.13	ENSG00000185101.13	1.6385236970443	4.32898514676871	1.517035675536e-25	1.18600142371527e-24	ANO9	338440
ENSG00000149926.13	ENSG00000149926.13	2.87540049800376	1.10843431498506	1.52467092818389e-25	1.19148838958966e-24	TLCD3B	83723
ENSG00000170473.17	ENSG00000170473.17	0.753010960616238	5.11865689502848	1.53835502952337e-25	1.20121028538127e-24	PYM1	84305
ENSG00000197879.17	ENSG00000197879.17	-0.705562441527215	8.18677283667102	1.55543013100927e-25	1.2140524957914e-24	MYO1C	4641
ENSG00000111981.5	ENSG00000111981.5	2.96313231019026	0.662934221335438	1.56584345001538e-25	1.22168674343284e-24	ULBP1	80329
ENSG00000005187.12	ENSG00000005187.12	-1.39474229478821	2.15263630770549	1.59646668887553e-25	1.24507644310446e-24	ACSM3	6296
ENSG00000173320.12	ENSG00000173320.12	-1.43914873057786	2.61810508428285	1.60536108933435e-25	1.25150789038583e-24	STOX2	56977
ENSG00000156787.17	ENSG00000156787.17	1.1385978274106	3.55968010481189	1.61559609614984e-25	1.25897883765319e-24	TBC1D31	93594
ENSG00000243449.6	ENSG00000243449.6	2.19160124040931	1.97596360899209	1.62672362256021e-25	1.26713898954106e-24	C4orf48	401115
ENSG00000109685.19	ENSG00000109685.19	0.894234280677596	6.52793393692778	1.63367781069212e-25	1.27204304502017e-24	NSD2	7468
ENSG00000010030.14	ENSG00000010030.14	1.96085306104133	2.8113666637525	1.65533397237078e-25	1.28838604666635e-24	ETV7	51513
ENSG00000058262.10	ENSG00000058262.10	0.601789393357204	8.66500266980621	1.69716009806443e-25	1.32040832760405e-24	SEC61A1	29927
ENSG00000256124.6	ENSG00000256124.6	-2.38054223908744	1.66477946440443	1.71324343837644e-25	1.33238473198696e-24	LINC01152	102606463
ENSG00000187546.14	ENSG00000187546.14	-1.85975904209347	-0.2885596727696	1.72159635282507e-25	1.338341985669e-24	AGMO	392636
ENSG00000106153.13	ENSG00000106153.13	0.762942879836684	7.73095536820174	1.85938171702136e-25	1.44487272765159e-24	CHCHD2	51142
ENSG00000127554.13	ENSG00000127554.13	1.39459997237422	2.98880010619309	1.87508435572091e-25	1.45648892576665e-24	GFER	2671
ENSG00000184363.10	ENSG00000184363.10	1.2849556993792	6.23251259165691	1.90365021210528e-25	1.47808339218046e-24	PKP3	11187
ENSG00000162706.13	ENSG00000162706.13	-2.00767733143764	1.62683984879008	1.91704052080376e-25	1.48788223306095e-24	CADM3	57863
ENSG00000119986.7	ENSG00000119986.7	-0.966790825523439	3.53857998864634	1.91815036275879e-25	1.48814573123592e-24	AVPI1	60370
ENSG00000108342.13	ENSG00000108342.13	-2.83794662719841	-1.05714128840421	2.01256307280548e-25	1.56014018621414e-24	CSF3	1440
ENSG00000136379.12	ENSG00000136379.12	1.27063116293731	5.04299458914993	2.0925904168363e-25	1.62152674177472e-24	ABHD17C	58489
ENSG00000001617.12	ENSG00000001617.12	1.19017248429387	6.79090390782513	2.11038031439454e-25	1.63465625154265e-24	SEMA3F	6405
ENSG00000179144.5	ENSG00000179144.5	-1.26739196062327	3.98550954912688	2.12968511850893e-25	1.64894818113649e-24	GIMAP7	168537
ENSG00000123562.18	ENSG00000123562.18	0.815344353571677	8.38390712239089	2.15084160602208e-25	1.66466178466084e-24	MORF4L2	9643
ENSG00000133812.16	ENSG00000133812.16	-0.957491864697329	5.14315828407355	2.15814837094797e-25	1.66964798678305e-24	SBF2	81846
ENSG00000171345.13	ENSG00000171345.13	1.82897536193806	10.6925986314205	2.16090573141532e-25	1.67111196635233e-24	KRT19	3880
ENSG00000250802.7	ENSG00000250802.7	-1.07805738929853	0.969837690540135	2.2232724339899e-25	1.71865453700748e-24	ZBED3-AS1	728723
ENSG00000168004.10	ENSG00000168004.10	-2.01190732134676	4.09349957480062	2.26002573503494e-25	1.7463670859762e-24	PLAAT5	117245
ENSG00000100304.13	ENSG00000100304.13	1.3511468592794	6.76910301503735	2.26546549105536e-25	1.74987054602989e-24	TTLL12	23170
ENSG00000117450.15	ENSG00000117450.15	0.881873007719548	7.99394025304461	2.27573341149936e-25	1.75709904249978e-24	PRDX1	5052
ENSG00000172932.16	ENSG00000172932.16	1.04825999869619	5.48475950732838	2.28367234897446e-25	1.7625242683775e-24	ANKRD13D	338692
ENSG00000168214.20	ENSG00000168214.20	-0.509019723892783	6.60380592638871	2.30104805641503e-25	1.77522549336364e-24	RBPJ	3516
ENSG00000130988.13	ENSG00000130988.13	-1.76368967409086	1.48331688998542	2.31963485509026e-25	1.78885054413707e-24	RGN	9104
ENSG00000141034.10	ENSG00000141034.10	-0.679445473851625	4.17536287592541	2.35855638962454e-25	1.81814015701384e-24	GID4	79018
ENSG00000167747.15	ENSG00000167747.15	1.14379731503862	5.85655510451796	2.40691291171082e-25	1.85467665051574e-24	C19orf48	84798
ENSG00000111962.8	ENSG00000111962.8	-1.22570485069269	3.46451556497367	2.46107960604666e-25	1.89565932334965e-24	UST	10090
ENSG00000086015.22	ENSG00000086015.22	0.730534174089055	6.42526712794095	2.46331725001291e-25	1.8966266494918e-24	MAST2	23139
ENSG00000133265.11	ENSG00000133265.11	1.082734870977	5.41199274563783	2.51681380198488e-25	1.93704418433243e-24	HSPBP1	23640
ENSG00000141668.10	ENSG00000141668.10	6.30872469905213	3.95253763446444	2.5452660884297e-25	1.95816209861748e-24	CBLN2	147381
ENSG00000183060.15	ENSG00000183060.15	-0.856235524265767	2.73284204222254	2.57097124767632e-25	1.97715057972178e-24	LYSMD4	145748
ENSG00000115137.12	ENSG00000115137.12	-0.684910155784703	3.09289294210777	2.6075512494558e-25	2.00448368631067e-24	DNAJC27	51277
ENSG00000158435.8	ENSG00000158435.8	0.595284567013823	5.93199591783942	2.62643440248528e-25	2.01819649113806e-24	CNOT11	55571
ENSG00000166833.22	ENSG00000166833.22	-1.31593924688255	5.61695395412829	2.63797988877166e-25	2.02626224617459e-24	NAV2	89797
ENSG00000139890.10	ENSG00000139890.10	1.90317372171925	0.933758572305824	2.86472321408156e-25	2.19955179052574e-24	REM2	161253
ENSG00000130309.11	ENSG00000130309.11	0.736152797184989	7.08866429833122	2.92709937014232e-25	2.24655167391376e-24	COLGALT1	79709
ENSG00000125124.13	ENSG00000125124.13	-0.673143110545864	5.32888807091844	3.10471716373782e-25	2.38192717113134e-24	BBS2	583
ENSG00000103245.14	ENSG00000103245.14	1.15315069330128	4.9434325720469	3.24189155847432e-25	2.48617948100861e-24	CIAO3	64428
ENSG00000129990.15	ENSG00000129990.15	4.583970122427	0.78845936645676	3.43561416135873e-25	2.63265348548703e-24	SYT5	6861
ENSG00000259153.2	ENSG00000259153.2	1.41859611115876	1.49034352348734	3.51241129972892e-25	2.69043463474082e-24	MAP3K9-DT	100506411
ENSG00000117139.18	ENSG00000117139.18	0.908321220848702	7.55759881018581	3.5180059215038e-25	2.69365193783633e-24	KDM5B	10765
ENSG00000196132.14	ENSG00000196132.14	4.16253230924966	2.01229624914119	3.65171881813771e-25	2.79492488624344e-24	MYT1	4661
ENSG00000143418.20	ENSG00000143418.20	1.14879953554483	7.43923776557695	3.65811713967536e-25	2.79871314472272e-24	CERS2	29956
ENSG00000143157.12	ENSG00000143157.12	0.799968481165677	6.97234680613476	3.66935384816876e-25	2.80619863970404e-24	POGK	57645
ENSG00000103202.13	ENSG00000103202.13	1.03121859281349	6.99624495364009	3.69421541527957e-25	2.82409392134431e-24	NME4	4833
