Mature	Precursor	Accession	GC.content
hsa-miR-455-5p	hsa-mir-455	MI0003513	54.17
hsa-miR-4638-3p	hsa-mir-4638	MI0017265	72.06
hsa-miR-4652-5p	hsa-mir-4652	MI0017280	38.46
hsa-miR-4660	hsa-mir-4660	MI0017288	54.05
hsa-miR-4661-5p	hsa-mir-4661	MI0017289	46.67
hsa-miR-4662a-5p	hsa-mir-4662a	MI0017290	32.84
hsa-miR-4664-3p	hsa-mir-4664	MI0017294	66.2
hsa-miR-4668-3p	hsa-mir-4668	MI0017298	30
hsa-miR-4677-3p	hsa-mir-4677	MI0017308	46.25
hsa-miR-4709-3p	hsa-mir-4709	MI0017342	48.61
hsa-miR-4724-5p	hsa-mir-4724	MI0017361	42.7
hsa-miR-4728-3p	hsa-mir-4728	MI0017365	67.16
hsa-miR-4732-3p	hsa-mir-4732	MI0017369	64.47
hsa-miR-4742-3p	hsa-mir-4742	MI0017380	34.12
hsa-miR-4746-5p	hsa-mir-4746	MI0017385	67.61
hsa-miR-4772-3p	hsa-mir-4772	MI0017414	48.72
hsa-miR-4772-5p	hsa-mir-4772	MI0017414	48.72
hsa-miR-4786-5p	hsa-mir-4786	MI0017433	60
hsa-miR-4787-3p	hsa-mir-4787	MI0017434	79.76
hsa-miR-483-3p	hsa-mir-483	MI0002467	60.53
hsa-miR-483-5p	hsa-mir-483	MI0002467	60.53
hsa-miR-484	hsa-mir-484	MI0002468	59.49
hsa-miR-485-3p	hsa-mir-485	MI0002469	47.95
hsa-miR-485-5p	hsa-mir-485	MI0002469	47.95
hsa-miR-486-3p	hsa-mir-486	MI0002470	63.24
hsa-miR-486-5p	hsa-mir-486	MI0002470	63.24
hsa-miR-487a-3p	hsa-mir-487a	MI0002471	41.25
hsa-miR-487a-5p	hsa-mir-487a	MI0002471	41.25
hsa-miR-487b-3p	hsa-mir-487b	MI0003530	44.05
hsa-miR-491-3p	hsa-mir-491	MI0003126	51.19
hsa-miR-491-5p	hsa-mir-491	MI0003126	51.19
hsa-miR-493-3p	hsa-mir-493	MI0003132	53.93
hsa-miR-493-5p	hsa-mir-493	MI0003132	53.93
hsa-miR-494-3p	hsa-mir-494	MI0003134	38.27
hsa-miR-495-3p	hsa-mir-495	MI0003135	37.8
hsa-miR-496	hsa-mir-496	MI0003136	42.16
hsa-miR-497-3p	hsa-mir-497	MI0003138	66.96
hsa-miR-497-5p	hsa-mir-497	MI0003138	66.96
hsa-miR-4999-5p	hsa-mir-4999	MI0017865	28.57
hsa-miR-5000-3p	hsa-mir-5000	MI0017866	46.6
hsa-miR-500a-3p	hsa-mir-500a	MI0003184	55.95
hsa-miR-500a-5p	hsa-mir-500a	MI0003184	55.95
hsa-miR-500b-3p	hsa-mir-500b	MI0015903	55.7
hsa-miR-500b-5p	hsa-mir-500b	MI0015903	55.7
hsa-miR-501-3p	hsa-mir-501	MI0003185	53.57
hsa-miR-501-5p	hsa-mir-501	MI0003185	53.57
hsa-miR-5010-3p	hsa-mir-5010	MI0017878	54.17
hsa-miR-502-3p	hsa-mir-502	MI0003186	55.81
hsa-miR-502-5p	hsa-mir-502	MI0003186	55.81
hsa-miR-503-3p	hsa-mir-503	MI0003188	59.15
hsa-miR-503-5p	hsa-mir-503	MI0003188	59.15
hsa-miR-504-5p	hsa-mir-504	MI0003189	55.42
hsa-miR-505-3p	hsa-mir-505	MI0003190	52.38
hsa-miR-505-5p	hsa-mir-505	MI0003190	52.38
hsa-miR-508-3p	hsa-mir-508	MI0003195	45.22
hsa-miR-509-3p	hsa-mir-509-1	MI0003196	43.62
hsa-miR-511-3p	hsa-mir-511	MI0003127	39.08
hsa-miR-511-5p	hsa-mir-511	MI0003127	39.08
hsa-miR-512-3p	hsa-mir-512-1	MI0003140	52.38
hsa-miR-514a-3p	hsa-mir-514a-1	MI0003198	39.8
hsa-miR-516a-5p	hsa-mir-516a-1	MI0003180	44.44
hsa-miR-517a-3p	hsa-mir-517a	MI0003161	42.53
hsa-miR-517b-3p	hsa-mir-517b	MI0003165	44.78
hsa-miR-5187-5p	hsa-mir-5187	MI0018166	51.32
hsa-miR-518b	hsa-mir-518b	MI0003156	49.4
hsa-miR-519a-5p	hsa-mir-519a-1	MI0003178	44.71
hsa-miR-520a-3p	hsa-mir-520a	MI0003149	48.24
hsa-miR-526b-5p	hsa-mir-526b	MI0003150	45.78
hsa-miR-532-3p	hsa-mir-532	MI0003205	53.85
hsa-miR-532-5p	hsa-mir-532	MI0003205	53.85
hsa-miR-539-3p	hsa-mir-539	MI0003514	30.77
hsa-miR-539-5p	hsa-mir-539	MI0003514	30.77
hsa-miR-541-3p	hsa-mir-541	MI0005539	53.57
hsa-miR-542-3p	hsa-mir-542	MI0003686	47.42
hsa-miR-542-5p	hsa-mir-542	MI0003686	47.42
hsa-miR-543	hsa-mir-543	MI0005565	38.46
hsa-miR-545-5p	hsa-mir-545	MI0003516	41.51
hsa-miR-548b-3p	hsa-mir-548b	MI0003596	37.11
hsa-miR-548o-3p	hsa-mir-548o	MI0006402	35.96
hsa-miR-548v	hsa-mir-548v	MI0014174	37.5
hsa-miR-550a-3-5p	hsa-mir-550a-3	MI0003762	50.53
hsa-miR-550a-3p	hsa-mir-550a-1	MI0003600	50.52
hsa-miR-550a-5p	hsa-mir-550a-1	MI0003600	50.52
hsa-miR-551b-3p	hsa-mir-551b	MI0003575	53.12
hsa-miR-5586-5p	hsa-mir-5586	MI0019143	38.98
hsa-miR-5683	hsa-mir-5683	MI0019284	44.74
hsa-miR-5684	hsa-mir-5684	MI0019285	52.31
hsa-miR-5694	hsa-mir-5694	MI0019301	53.95
hsa-miR-5698	hsa-mir-5698	MI0019305	55.56
hsa-miR-574-3p	hsa-mir-574	MI0003581	65.62
hsa-miR-576-5p	hsa-mir-576	MI0003583	36.73
hsa-miR-577	hsa-mir-577	MI0003584	39.58
hsa-miR-579-5p	hsa-mir-579	MI0003586	32.65
hsa-miR-581	hsa-mir-581	MI0003588	36.46
hsa-miR-582-3p	hsa-mir-582	MI0003589	35.71
hsa-miR-582-5p	hsa-mir-582	MI0003589	35.71
hsa-miR-584-5p	hsa-mir-584	MI0003591	53.61
hsa-miR-585-3p	hsa-mir-585	MI0003592	54.26
hsa-miR-585-5p	hsa-mir-585	MI0003592	54.26
hsa-miR-589-3p	hsa-mir-589	MI0003599	62.63
hsa-miR-589-5p	hsa-mir-589	MI0003599	62.63
hsa-miR-590-3p	hsa-mir-590	MI0003602	35.05
hsa-miR-590-5p	hsa-mir-590	MI0003602	35.05
hsa-miR-592	hsa-mir-592	MI0003604	45.36
hsa-miR-598-3p	hsa-mir-598	MI0003610	53.61
hsa-miR-605-5p	hsa-mir-605	MI0003618	44.58
hsa-miR-615-3p	hsa-mir-615	MI0003628	70.83
hsa-miR-616-3p	hsa-mir-616	MI0003629	40.21
hsa-miR-616-5p	hsa-mir-616	MI0003629	40.21
hsa-miR-618	hsa-mir-618	MI0003632	45.92
hsa-miR-624-5p	hsa-mir-624	MI0003638	40.21
hsa-miR-625-3p	hsa-mir-625	MI0003639	48.24
hsa-miR-625-5p	hsa-mir-625	MI0003639	48.24
hsa-miR-627-5p	hsa-mir-627	MI0003641	35.05
hsa-miR-628-3p	hsa-mir-628	MI0003642	41.05
hsa-miR-628-5p	hsa-mir-628	MI0003642	41.05
hsa-miR-629-3p	hsa-mir-629	MI0003643	59.79
hsa-miR-629-5p	hsa-mir-629	MI0003643	59.79
hsa-miR-639	hsa-mir-639	MI0003654	73.47
hsa-miR-642a-5p	hsa-mir-642a	MI0003657	54.64
hsa-miR-6499-5p	hsa-mir-6499	MI0022209	54.84
hsa-miR-6503-5p	hsa-mir-6503	MI0022215	56.98
hsa-miR-6507-5p	hsa-mir-6507	MI0022219	45.71
hsa-miR-6509-5p	hsa-mir-6509	MI0022221	37.65
hsa-miR-651-5p	hsa-mir-651	MI0003666	29.9
hsa-miR-6510-3p	hsa-mir-6510	MI0022222	57.41
hsa-miR-6511b-3p	hsa-mir-6511b-1	MI0022552	71.76
hsa-miR-652-3p	hsa-mir-652	MI0003667	50
hsa-miR-652-5p	hsa-mir-652	MI0003667	50
hsa-miR-653-3p	hsa-mir-653	MI0003674	36.46
hsa-miR-653-5p	hsa-mir-653	MI0003674	36.46
hsa-miR-654-3p	hsa-mir-654	MI0003676	53.09
hsa-miR-654-5p	hsa-mir-654	MI0003676	53.09
hsa-miR-655-3p	hsa-mir-655	MI0003677	35.05
hsa-miR-656-3p	hsa-mir-656	MI0003678	37.18
hsa-miR-659-5p	hsa-mir-659	MI0003683	53.61
hsa-miR-660-5p	hsa-mir-660	MI0003684	49.48
hsa-miR-664a-3p	hsa-mir-664a	MI0006442	31.71
hsa-miR-664a-5p	hsa-mir-664a	MI0006442	31.71
hsa-miR-664b-3p	hsa-mir-664b	MI0019134	42.62
hsa-miR-665	hsa-mir-665	MI0005563	63.89
hsa-miR-671-3p	hsa-mir-671	MI0003760	63.56
hsa-miR-671-5p	hsa-mir-671	MI0003760	63.56
hsa-miR-6715a-3p	hsa-mir-6715a	MI0022548	54.43
hsa-miR-6716-3p	hsa-mir-6716	MI0022550	60
hsa-miR-6718-5p	hsa-mir-6718	MI0022553	43.75
hsa-miR-6720-3p	hsa-mir-6720	MI0022555	62.24
hsa-miR-675-3p	hsa-mir-675	MI0005416	68.49
hsa-miR-6755-5p	hsa-mir-6755	MI0022600	39.39
hsa-miR-676-3p	hsa-mir-676	MI0016436	44.78
hsa-miR-6761-5p	hsa-mir-6761	MI0022606	61.11
hsa-miR-6777-5p	hsa-mir-6777	MI0022622	65.15
hsa-miR-6802-3p	hsa-mir-6802	MI0022647	63.08
hsa-miR-6806-3p	hsa-mir-6806	MI0022651	56.25
hsa-miR-6820-3p	hsa-mir-6820	MI0022665	61.29
hsa-miR-6837-3p	hsa-mir-6837	MI0022683	64.06
hsa-miR-6842-3p	hsa-mir-6842	MI0022688	66.15
hsa-miR-6854-5p	hsa-mir-6854	MI0022700	44.93
hsa-miR-6892-5p	hsa-mir-6892	MI0022739	57.39
hsa-miR-7-1-3p	hsa-mir-7-1	MI0000263	41.82
hsa-miR-7-5p	hsa-mir-7-1	MI0000263	41.82
hsa-miR-708-3p	hsa-mir-708	MI0005543	48.86
hsa-miR-708-5p	hsa-mir-708	MI0005543	48.86
hsa-miR-7156-5p	hsa-mir-7156	MI0023616	55
hsa-miR-744-3p	hsa-mir-744	MI0005559	54.08
hsa-miR-744-5p	hsa-mir-744	MI0005559	54.08
hsa-miR-758-3p	hsa-mir-758	MI0003757	48.86
hsa-miR-758-5p	hsa-mir-758	MI0003757	48.86
hsa-miR-760	hsa-mir-760	MI0005567	63.75
hsa-miR-766-3p	hsa-mir-766	MI0003836	55.86
hsa-miR-769-3p	hsa-mir-769	MI0003834	61.86
hsa-miR-769-5p	hsa-mir-769	MI0003834	61.86
hsa-miR-7702	hsa-mir-7702	MI0025238	50.85
hsa-miR-7705	hsa-mir-7705	MI0025241	33.33
hsa-miR-7706	hsa-mir-7706	MI0025242	71.64
hsa-miR-874-3p	hsa-mir-874	MI0005532	69.23
hsa-miR-874-5p	hsa-mir-874	MI0005532	69.23
hsa-miR-877-5p	hsa-mir-877	MI0005561	62.79
hsa-miR-885-5p	hsa-mir-885	MI0005560	58.11
hsa-miR-887-3p	hsa-mir-887	MI0005562	55.7
hsa-miR-887-5p	hsa-mir-887	MI0005562	55.7
hsa-miR-889-3p	hsa-mir-889	MI0005540	35.44
hsa-miR-891a-5p	hsa-mir-891a	MI0005524	43.04
hsa-miR-9-3p	hsa-mir-9-1	MI0000466	40.45
hsa-miR-9-5p	hsa-mir-9-1	MI0000466	40.45
hsa-miR-92a-1-5p	hsa-mir-92a-1	MI0000093	48.72
hsa-miR-92a-3p	hsa-mir-92a-1	MI0000093	48.72
hsa-miR-92b-3p	hsa-mir-92b	MI0003560	75
hsa-miR-92b-5p	hsa-mir-92b	MI0003560	75
hsa-miR-93-3p	hsa-mir-93	MI0000095	60
hsa-miR-93-5p	hsa-mir-93	MI0000095	60
hsa-miR-934	hsa-mir-934	MI0005756	43.37
hsa-miR-935	hsa-mir-935	MI0005757	79.12
hsa-miR-937-3p	hsa-mir-937	MI0005759	69.77
hsa-miR-939-5p	hsa-mir-939	MI0005761	74.39
hsa-miR-940	hsa-mir-940	MI0005762	76.6
hsa-miR-942-3p	hsa-mir-942	MI0005767	44.19
hsa-miR-942-5p	hsa-mir-942	MI0005767	44.19
hsa-miR-944	hsa-mir-944	MI0005769	32.95
hsa-miR-95-3p	hsa-mir-95	MI0000097	40.74
hsa-miR-96-5p	hsa-mir-96	MI0000098	47.44
hsa-miR-98-3p	hsa-mir-98	MI0000100	42.86
hsa-miR-98-5p	hsa-mir-98	MI0000100	42.86
hsa-miR-99a-3p	hsa-mir-99a	MI0000101	53.09
hsa-miR-99a-5p	hsa-mir-99a	MI0000101	53.09
hsa-miR-99b-3p	hsa-mir-99b	MI0000746	67.14
hsa-miR-99b-5p	hsa-mir-99b	MI0000746	67.14
