"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"RP11-456K23.1","Unmatched","","","",""
"RP11-776B3.1","Unmatched","","","",""
"RP11-15F12.1","Unmatched","","","",""
"RP11-126O1.4","Unmatched","","","",""
"RP11-879F14.1","Unmatched","","","",""
"KIAA1468","Previous symbol","RELCH","RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing","HGNC:29289","18q21.33"
"RP11-28F1.2","Unmatched","","","",""
"RP11-567M16.6","Unmatched","","","",""
"RP11-567M16.3","Unmatched","","","",""
"RP11-120D5.1","Unmatched","","","",""
"AC092198.2","Unmatched","","","",""
"AC092198.1","Alias symbol","LINC03053","long intergenic non-protein coding RNA 3053","HGNC:56342","Xp11.4"
"AF196970.3","Unmatched","","","",""
"AC115617.2","Unmatched","","","",""
"AC231657.1","Unmatched","","","",""
"RP3-339A18.6","Unmatched","","","",""
"FTX_5","Unmatched","","","",""
"U52112.12","Unmatched","","","",""
"XX-FW83563B9.5","Unmatched","","","",""
"TAZ","Previous symbol","TAFAZZIN","tafazzin, phospholipid-lysophospholipid transacylase","HGNC:11577","Xq28"
"TAZ","Alias symbol","WWTR1","WW domain containing transcription regulator 1","HGNC:24042","3q25.1"
"RP11-54O7.17","Unmatched","","","",""
"RP11-54O7.10","Unmatched","","","",""
"RP11-54O7.11","Unmatched","","","",""
"FAM132A","Previous symbol","C1QTNF12","C1q and TNF related 12","HGNC:32308","1p36.33"
"RP5-902P8.12","Unmatched","","","",""
"CPSF3L","Previous symbol","INTS11","integrator complex subunit 11","HGNC:26052","1p36.33"
"RP5-890O3.9","Unmatched","","","",""
"RP4-758J18.2","Unmatched","","","",""
"RP4-758J18.13","Unmatched","","","",""
"RP4-758J18.7","Unmatched","","","",""
"RP4-758J18.10","Unmatched","","","",""
"RP5-832C2.5","Unmatched","","","",""
"RP11-345P4.9","Unmatched","","","",""
"RP1-140A9.1","Unmatched","","","",""
"RP11-181G12.2","Alias symbol","PRKCZ-AS1","PRKCZ antisense RNA 1","HGNC:40477","1p36.33"
"C1orf86","Previous symbol","FAAP20","FA core complex associated protein 20","HGNC:26428","1p36.33"
"RP11-181G12.4","Unmatched","","","",""
"AL590822.1","Unmatched","","","",""
"RP3-395M20.12","Unmatched","","","",""
"RP3-395M20.8","Unmatched","","","",""
"RP3-395M20.9","Unmatched","","","",""
"FAM213B","Previous symbol","PRXL2B","peroxiredoxin like 2B","HGNC:28390","1p36.32"
"RP1-286D6.5","Unmatched","","","",""
"AL357140.1","Unmatched","","","",""
"RP11-84A14.5","Unmatched","","","",""
"RP5-934G17.6","Unmatched","","","",""
"RP3-467K16.4","Unmatched","","","",""
"RP4-680D5.2","Unmatched","","","",""
"RP4-680D5.4","Unmatched","","","",""
"RP11-169K16.8","Unmatched","","","",""
"FLJ37453","Alias symbol","SPEN-AS1","SPEN antisense RNA 1","HGNC:55937","1p36.21"
"RP11-5P18.5","Unmatched","","","",""
"RP11-276H7.2","Unmatched","","","",""
"RP11-276H7.3","Unmatched","","","",""
"ANO7P1","Previous symbol","ANO7L1","anoctamin 7 like 1 (pseudogene)","HGNC:32248","1p36.13"
"RP11-430L17.1","Unmatched","","","",""
"RP11-108M9.5","Unmatched","","","",""
"RP11-108M9.4","Unmatched","","","",""
"RP11-108M9.6","Unmatched","","","",""
"RP5-930J4.5","Unmatched","","","",""
"RP1-150O5.3","Unmatched","","","",""
"TCEB3-AS1","Previous symbol","ELOA-AS1","ELOA antisense RNA 1","HGNC:50582","1p36.11"
"RP1-187B23.1","Unmatched","","","",""
"SEPN1","Previous symbol","SELENON","selenoprotein N","HGNC:15999","1p36.11"
"AL033528.1","Unmatched","","","",""
"AIM1L","Previous symbol","CRYBG2","crystallin beta-gamma domain containing 2","HGNC:17295","1p36.11"
"FAM46B","Previous symbol","TENT5B","terminal nucleotidyltransferase 5B","HGNC:28273","1p36.11"
"RP1-144C9.2","Unmatched","","","",""
"RP1-159A19.4","Unmatched","","","",""
"RP5-1092A3.5","Unmatched","","","",""
"RP11-442N24__B.1","Unmatched","","","",""
"U11","Alias symbol","RNU11","RNA, U11 small nuclear","HGNC:10108","1p35.3"
"RP1-212P9.3","Unmatched","","","",""
"AL645859.1","Unmatched","","","",""
"RP11-84A19.3","Unmatched","","","",""
"RP11-277A4.4","Unmatched","","","",""
"RP4-811H24.9","Unmatched","","","",""
"YARS","Previous symbol","YARS1","tyrosyl-tRNA synthetase 1","HGNC:12840","1p35.1"
"AL513327.1","Unmatched","","","",""
"RP11-415J8.5","Unmatched","","","",""
"RP4-665N4.4","Unmatched","","","",""
"ADPRHL2","Previous symbol","ADPRS","ADP-ribosylserine hydrolase","HGNC:21304","1p34.3"
"RP5-1198O20.4","Unmatched","","","",""
"RP4-533D7.5","Unmatched","","","",""
"RP11-322N21.2","Unmatched","","","",""
"RP4-533D7.6","Unmatched","","","",""
"RP11-191G24.1","Unmatched","","","",""
"C1orf123","Previous symbol","CZIB","CXXC motif containing zinc binding protein","HGNC:26059","1p32.3"
"RP5-1024G6.7","Unmatched","","","",""
"HSD52","Unmatched","","","",""
"RP4-782L23.2","Unmatched","","","",""
"RP11-430G17.3","Unmatched","","","",""
"INADL","Previous symbol","PATJ","PATJ crumbs cell polarity complex component","HGNC:28881","1p31.3"
"FAM73A","Previous symbol","MIGA1","mitoguardin 1","HGNC:24741","1p31.1"
"RP11-131L23.1","Unmatched","","","",""
"AL590113.1","Unmatched","","","",""
"RP11-290M5.4","Unmatched","","","",""
"CYR61","Previous symbol","CCN1","cellular communication network factor 1","HGNC:2654","1p22.3"
"RP11-465K1.2","Unmatched","","","",""
"SARS","Alias symbol","SARS2","seryl-tRNA synthetase 2, mitochondrial","HGNC:17697","19q13.2"
"SARS","Previous symbol","SARS1","seryl-tRNA synthetase 1","HGNC:10537","1p13.3"
"RP11-426L16.3","Unmatched","","","",""
"RP11-426L16.10","Unmatched","","","",""
"RP5-1185H19.2","Unmatched","","","",""
"RP11-316M1.3","Unmatched","","","",""
"FAM63A","Previous symbol","MINDY1","MINDY lysine 48 deubiquitinase 1","HGNC:25648","1q21.3"
"RP11-126K1.6","Unmatched","","","",""
"RP1-178F15.4","Unmatched","","","",""
"RP1-178F15.5","Unmatched","","","",""
"RP11-422P24.11","Unmatched","","","",""
"RP11-307C12.13","Unmatched","","","",""
"RP11-307C12.12","Unmatched","","","",""
"RP11-540D14.8","Unmatched","","","",""
"RP11-284F21.7","Unmatched","","","",""
"RP11-66D17.3","Unmatched","","","",""
"RP11-66D17.5","Unmatched","","","",""
"RRNAD1","Previous symbol","METTL25B","methyltransferase like 25B","HGNC:24273","1q23.1"
"KIRREL","Previous symbol","KIRREL1","kirre like nephrin family adhesion molecule 1","HGNC:15734","1q23.1"
"hsa-mir-4259","Alias symbol","MIR4259","microRNA 4259","HGNC:38309","1q23.2"
"RP11-226L15.5","Unmatched","","","",""
"RP11-536C5.2","Unmatched","","","",""
"RP11-544M22.13","Unmatched","","","",""
"PVRL4","Previous symbol","NECTIN4","nectin cell adhesion molecule 4","HGNC:19688","1q23.3"
"RP11-544M22.8","Unmatched","","","",""
"RP11-122G18.7","Unmatched","","","",""
"AL391001.1","Unmatched","","","",""
"RP11-306I1.2","Unmatched","","","",""
"RP11-382D12.2","Unmatched","","","",""
"RP11-168O16.1","Unmatched","","","",""
"RP11-134G8.10","Unmatched","","","",""
"RP11-134G8.7","Unmatched","","","",""
"RP11-134G8.6","Unmatched","","","",""
"RP11-465N4.2","Unmatched","","","",""
"RP11-480I12.10","Unmatched","","","",""
"RP11-480I12.5","Alias symbol","TUBA5P","tubulin alpha 5, pseudogene","HGNC:54799","1q32.1"
"RP11-480I12.7","Unmatched","","","",""
"LINC01136","Previous symbol","BTG2-DT","BTG2 divergent transcript","HGNC:49452","1q32.1"
"RP11-576D8.4","Unmatched","","","",""
"MFSD4","Previous symbol","MFSD4A","major facilitator superfamily domain containing 4A","HGNC:25433","1q32.1"
"RP1-28O10.1","Unmatched","","","",""
"RP11-122M14.1","Unmatched","","","",""
"TMEM206","Previous symbol","PACC1","proton activated chloride channel 1","HGNC:25593","1q32.3"
"RP11-61J19.2","Unmatched","","","",""
"RP11-61J19.5","Unmatched","","","",""
"RP5-881P19.7","Unmatched","","","",""
"RP5-915N17.11","Unmatched","","","",""
"RP5-1061H20.3","Unmatched","","","",""
"RP5-940F7.2","Unmatched","","","",""
"RP4-580N22.2","Unmatched","","","",""
"RP11-488L18.6","Unmatched","","","",""
"AL672294.1","Unmatched","","","",""
"RP3-406P24.4","Unmatched","","","",""
"RP3-406P24.3","Unmatched","","","",""
"RP3-430A16.1","Unmatched","","","",""
"RP3-512B11.3","Alias symbol","DSP-AS1","DSP antisense RNA 1","HGNC:56039","6p24.3"
"RP1-223E5.4","Unmatched","","","",""
"RP11-560J1.2","Unmatched","","","",""
"RP4-625H18.2","Unmatched","","","",""
"RP3-369A17.4","Unmatched","","","",""
"RP3-369A17.2","Unmatched","","","",""
"HIST1H3A","Previous symbol","H3C1","H3 clustered histone 1","HGNC:4766","6p22.2"
"HIST1H4B","Previous symbol","H4C2","H4 clustered histone 2","HGNC:4789","6p22.2"
"HIST1H3B","Previous symbol","H3C2","H3 clustered histone 2","HGNC:4776","6p22.2"
"HIST1H2AB","Previous symbol","H2AC4","H2A clustered histone 4","HGNC:4734","6p22.2"
"HIST1H2BB","Previous symbol","H2BC3","H2B clustered histone 3","HGNC:4751","6p22.2"
"U91328.2","Unmatched","","","",""
"HIST1H3C","Previous symbol","H3C3","H3 clustered histone 3","HGNC:4768","6p22.2"
"HIST1H4C","Previous symbol","H4C3","H4 clustered histone 3","HGNC:4787","6p22.2"
"HIST1H2BC","Previous symbol","H2BC4","H2B clustered histone 4","HGNC:4757","6p22.2"
"HIST1H2AC","Previous symbol","H2AC6","H2A clustered histone 6","HGNC:4733","6p22.2"
"HIST1H3G","Previous symbol","H3C8","H3 clustered histone 8","HGNC:4772","6p22.2"
"HIST1H2APS4","Previous symbol","H2AC10P","H2A clustered histone 10, pseudogene","HGNC:4732","6p22.2"
"HIST1H2BI","Previous symbol","H2BC10","H2B clustered histone 10","HGNC:4756","6p22.2"
"HIST1H4H","Previous symbol","H4C8","H4 clustered histone 8","HGNC:4788","6p22.2"
"XXbac-BPG249D20.9","Unmatched","","","",""
"AL662800.2","Unmatched","","","",""
"AL662797.1","Unmatched","","","",""
"XXbac-BPG252P9.9","Unmatched","","","",""
"XXbac-BPG27H4.8","Alias symbol","LINC02570","long intergenic non-protein coding RNA 2570","HGNC:39766","6p21.33"
"DDR1-AS1","Previous symbol","DDR1-DT","DDR1 divergent transcript","HGNC:28694","6p21.33"
"C6orf48","Previous symbol","SNHG32","small nucleolar RNA host gene 32","HGNC:19078","6p21.33"
"XXbac-BPG157A10.21","Unmatched","","","",""
"RP3-510O8.4","Unmatched","","","",""
"RP1-50J22.4","Unmatched","","","",""
"RP11-298J23.9","Unmatched","","","",""
"RP11-7K24.3","Unmatched","","","",""
"RP11-98I9.4","Unmatched","","","",""
"RP1-60O19.1","Unmatched","","","",""
"RP1-191J18.66","Unmatched","","","",""
"RP11-425D10.10","Unmatched","","","",""
"RP11-350J20.12","Unmatched","","","",""
"RP11-230C9.2","Unmatched","","","",""
"C6orf99","Previous symbol","LINC02901","long intergenic non-protein coding RNA 2901","HGNC:21179","6q25.3"
"RP3-428L16.2","Unmatched","","","",""
"RP1-167A14.2","Unmatched","","","",""
"FGFR1OP","Previous symbol","CEP43","centrosomal protein 43","HGNC:17012","6q27"
"RP3-431P23.5","Unmatched","","","",""
"RP5-894D12.4","Unmatched","","","",""
"CECR1","Previous symbol","ADA2","adenosine deaminase 2","HGNC:1839","22q11.1"
"AC005300.5","Unmatched","","","",""
"AC000067.1","Unmatched","","","",""
"SEPT5","Previous symbol","SEPTIN5","septin 5","HGNC:9164","22q11.21"
"XXbac-B135H6.15","Unmatched","","","",""
"XXbac-B135H6.18","Unmatched","","","",""
"KB-1440D3.13","Unmatched","","","",""
"AP000347.2","Unmatched","","","",""
"KB-1572G7.2","Unmatched","","","",""
"AP000349.2","Unmatched","","","",""
"TMEM211","Previous symbol","LHFPL7","LHFPL tetraspan subfamily member 7","HGNC:33725","22q11.23"
"RP11-9F11.3","Unmatched","","","",""
"CTA-390C10.9","Unmatched","","","",""
"MIAT_exon5_2","Unmatched","","","",""
"CTA-373H7.7","Unmatched","","","",""
"MIAT_exon5_3","Unmatched","","","",""
"CTA-292E10.9","Unmatched","","","",""
"RP4-633O19__A.1","Unmatched","","","",""
"RP5-1177I5.3","Unmatched","","","",""
"RP3-449O17.1","Unmatched","","","",""
"RP4-742C19.13","Unmatched","","","",""
"RP5-1104E15.6","Unmatched","","","",""
"RP3-496C20.1","Unmatched","","","",""
"CTA-250D10.23","Unmatched","","","",""
"LINC00634","Previous symbol","SMIM45","small integral membrane protein 45","HGNC:27930","22q13.2"
"SEPT3","Previous symbol","SEPTIN3","septin 3","HGNC:10750","22q13.2"
"ATP5L2","Previous symbol","ATP5MGL","ATP synthase membrane subunit g like","HGNC:13213","22q13.2"
"CITF22-92A6.2","Unmatched","","","",""
"CITF22-92A6.1","Unmatched","","","",""
"RP3-439F8.1","Alias symbol","LINC02925","long intergenic non-protein coding RNA 2925","HGNC:55756","22q13.31"
"CTA-29F11.1","Unmatched","","","",""
"CITF22-49E9.3","Unmatched","","","",""
"RP3-402G11.25","Unmatched","","","",""
"RP3-402G11.26","Unmatched","","","",""
"SELO","Alias symbol","SELENOO","selenoprotein O","HGNC:30395","22q13.33"
"RP3-402G11.28","Unmatched","","","",""
"AL022328.1","Unmatched","","","",""
"XX-C283C717.1","Unmatched","","","",""
"XX-C00717C00720L.1","Unmatched","","","",""
"CHKB-AS1","Previous symbol","CHKB-DT","CHKB divergent transcript","HGNC:40146","22q13.33"
"AC018816.3","Unmatched","","","",""
"RP11-1020A11.1","Unmatched","","","",""
"RP11-1020A11.2","Unmatched","","","",""
"AC022007.5","Unmatched","","","",""
"RP11-317L10.1","Unmatched","","","",""
"MIR4792","Entry withdrawn","MIR4792","","HGNC:41577",""
"AC099535.4","Unmatched","","","",""
"RP11-70C1.3","Unmatched","","","",""
"CELSR3-AS1","Previous symbol","LINC02585","long intergenic non-protein coding RNA 2585","HGNC:50302","3p21.31"
"RP11-572O6.1","Unmatched","","","",""
"RP13-131K19.6","Unmatched","","","",""
"QARS","Previous symbol","EPRS1","glutamyl-prolyl-tRNA synthetase 1","HGNC:3418","1q41"
"QARS","Previous symbol","QARS1","glutaminyl-tRNA synthetase 1","HGNC:9751","3p21.31"
"FAM212A","Previous symbol","INKA1","inka box actin regulator 1","HGNC:32480","3p21.31"
"XXcos-LUCA16.1","Unmatched","","","",""
"U73166.2","Unmatched","","","",""
"NAT6","Previous symbol","NAA80","N-alpha-acetyltransferase 80, NatH catalytic subunit","HGNC:30252","3p21.31"
"RP11-804H8.7","Unmatched","","","",""
"RP11-155D18.12","Unmatched","","","",""
"RP11-802O23.3","Unmatched","","","",""
"RP11-71E19.1","Unmatched","","","",""
"RP11-375I20.6","Unmatched","","","",""
"MIR6827","Approved symbol","MIR6827","microRNA 6827","HGNC:50234","3q22.2"
"RP11-778D9.13","Unmatched","","","",""
"RP11-778D9.12","Unmatched","","","",""
"EIF2B5-AS1","Previous symbol","LINC01840","long intergenic non-protein coding RNA 1840","HGNC:40209","3q27.1"
"RP11-211G3.2","Unmatched","","","",""
"RP11-699L21.2","Unmatched","","","",""
"RP11-407B7.1","Unmatched","","","",""
"RP11-407B7.3","Unmatched","","","",""
"RP11-135A1.2","Unmatched","","","",""
"AC090505.6","Unmatched","","","",""
"RP11-352G9.1","Unmatched","","","",""
"RP11-480A16.1","Unmatched","","","",""
"AC092933.4","Unmatched","","","",""
"MFI2-AS1","Previous symbol","MELTF-AS1","MELTF antisense RNA 1","HGNC:40373","3q29"
"MFI2","Previous symbol","MELTF","melanotransferrin","HGNC:7037","3q29"
"RP11-184A2.2","Unmatched","","","",""
"RP11-464C19.2","Unmatched","","","",""
"FBXO18","Previous symbol","FBH1","F-box DNA helicase 1","HGNC:13620","10p15.1"
"RP11-414H17.5","Unmatched","","","",""
"RP11-554I8.2","Unmatched","","","",""
"SEPT7P9","Previous symbol","SEPTIN7P9","septin 7 pseudogene 9","HGNC:30810","10p11.1"
"RP11-517P14.2","Unmatched","","","",""
"RP11-285G1.14","Unmatched","","","",""
"RP11-242G20.1","Unmatched","","","",""
"C10orf54","Previous symbol","VSIR","V-set immunoregulatory receptor","HGNC:30085","10q22.1"
"RP11-464F9.20","Unmatched","","","",""
"RP11-342M3.5","Unmatched","","","",""
"RP11-96C23.15","Unmatched","","","",""
"RP11-452K12.7","Unmatched","","","",""
"LINC00263","Previous symbol","OLMALINC","oligodendrocyte maturation-associated long intergenic non-coding RNA","HGNC:28060","10q24.31"
"FAM178A","Previous symbol","SLF2","SMC5-SMC6 complex localization factor 2","HGNC:17814","10q24.31"
"RP11-179B2.2","Unmatched","","","",""
"RP11-108L7.4","Unmatched","","","",""
"C10orf2","Previous symbol","TWNK","twinkle mtDNA helicase","HGNC:1160","10q24.31"
"RP11-108L7.15","Unmatched","","","",""
"MGEA5","Previous symbol","OGA","O-GlcNAcase","HGNC:7056","10q24.32"
"C10orf76","Previous symbol","ARMH3","armadillo like helical domain containing 3","HGNC:25788","10q24.32"
"RP11-47A8.5","Unmatched","","","",""
"CCDC147-AS1","Previous symbol","CFAP58-DT","CFAP58 divergent transcript","HGNC:45243","10q25.1"
"RP11-525A16.4","Unmatched","","","",""
"RP11-57H14.2","Unmatched","","","",""
"RP11-317F20.2","Unmatched","","","",""
"RP13-238F13.5","Unmatched","","","",""
"RP13-238F13.3","Unmatched","","","",""
"RP11-500G10.5","Unmatched","","","",""
"LINC00959","Previous symbol","C10orf143","chromosome 10 open reading frame 143","HGNC:48677","10q26.3"
"RP11-45A17.2","Unmatched","","","",""
"RP11-432J24.3","Unmatched","","","",""
"C10orf91","Previous symbol","LINC02870","long intergenic non-protein coding RNA 2870","HGNC:27275","10q26.3"
"RP13-49I15.6","Unmatched","","","",""
"AC092159.2","Alias symbol","TMEM18-DT","TMEM18 divergent transcript","HGNC:54481","2p25.3"
"RNASEH1-AS1","Previous symbol","RNASEH1-DT","RNASEH1 divergent transcript","HGNC:49289","2p25.3"
"AC010907.2","Unmatched","","","",""
"FLJ33534","Unmatched","","","",""
"AC018463.5","Unmatched","","","",""
"AC012074.2","Unmatched","","","",""
"RP11-195B17.1","Unmatched","","","",""
"AC074117.10","Alias symbol","GTF3C2-AS2","GTF3C2 antisense RNA 2","HGNC:55699","2p23.3"
"RP11-191L17.1","Unmatched","","","",""
"SMEK2","Previous symbol","PPP4R3B","protein phosphatase 4 regulatory subunit 3B","HGNC:29267","2p16.1"
"RP11-554J4.1","Unmatched","","","",""
"AC007365.1","Alias symbol","LINC02579","long intergenic non-protein coding RNA 2579","HGNC:27942","2p14"
"AC007880.1","Unmatched","","","",""
"AC074391.1","Unmatched","","","",""
"AC017083.2","Unmatched","","","",""
"WDR92","Previous symbol","DNAAF10","dynein axonemal assembly factor 10","HGNC:25176","2p14"
"AC016700.5","Unmatched","","","",""
"AC073046.25","Unmatched","","","",""
"RP11-711M9.2","Unmatched","","","",""
"BOLA3-AS1","Previous symbol","BOLA3-DT","BOLA3 divergent transcript","HGNC:42922","2p13.1"
"RP11-287D1.2","Unmatched","","","",""
"RP11-259N19.1","Unmatched","","","",""
"AC009237.8","Unmatched","","","",""
"RP11-440D17.3","Unmatched","","","",""
"RP11-363D14.1","Unmatched","","","",""
"RP11-353K11.1","Unmatched","","","",""
"LINC01125","Previous symbol","C2orf92","chromosome 2 open reading frame 92","HGNC:49272","2q11.2"
"RP11-299H21.1","Unmatched","","","",""
"SEPT10","Previous symbol","SEPTIN10","septin 10","HGNC:14349","2q13"
"RP11-416H1.1","Unmatched","","","",""
"AC068282.3","Unmatched","","","",""
"RP11-394I13.2","Unmatched","","","",""
"AC010746.3","Unmatched","","","",""
"AC007163.6","Unmatched","","","",""
"AC005037.4","Unmatched","","","",""
"AC064836.3","Unmatched","","","",""
"RP11-686O6.2","Unmatched","","","",""
"AC007563.5","Unmatched","","","",""
"FAM134A","Previous symbol","RETREG2","reticulophagy regulator family member 2","HGNC:28450","2q35"
"AC114803.3","Unmatched","","","",""
"AC053503.4","Unmatched","","","",""
"RP11-316O14.1","Unmatched","","","",""
"RP11-256I23.1","Unmatched","","","",""
"RP11-256I23.2","Unmatched","","","",""
"AC016999.2","Unmatched","","","",""
"CAPN10-AS1","Previous symbol","CAPN10-DT","CAPN10 divergent transcript","HGNC:48839","2q37.3"
"AC114730.11","Unmatched","","","",""
"AC114730.8","Unmatched","","","",""
"AC114730.7","Unmatched","","","",""
"RP11-680F8.3","Unmatched","","","",""
"RP11-463I20.1","Unmatched","","","",""
"RP11-463I20.3","Unmatched","","","",""
"RP11-133K1.12","Unmatched","","","",""
"C15orf52","Previous symbol","CCDC9B","coiled-coil domain containing 9B","HGNC:33488","15q15.1"
"LINC00594","Previous symbol","DISP2","dispatched RND transporter family member 2","HGNC:19712","15q15.1"
"RP11-64K12.10","Unmatched","","","",""
"RP11-64K12.9","Unmatched","","","",""
"RP11-64K12.8","Unmatched","","","",""
"AC012476.1","Unmatched","","","",""
"AC025166.1","Unmatched","","","",""
"CTD-2382E5.1","Unmatched","","","",""
"RP11-265N6.2","Unmatched","","","",""
"CASC4","Previous symbol","GOLM2","golgi membrane protein 2","HGNC:24892","15q15.3"
"RP11-745A24.2","Unmatched","","","",""
"RP11-745A24.3","Unmatched","","","",""
"RP11-321G12.1","Unmatched","","","",""
"FAM96A","Previous symbol","CIAO2A","cytosolic iron-sulfur assembly component 2A","HGNC:26235","15q22.31"
"AC100830.3","Unmatched","","","",""
"RP11-325L12.6","Unmatched","","","",""
"RP11-349G13.2","Unmatched","","","",""
"RP11-653J6.1","Unmatched","","","",""
"AC107871.1","Unmatched","","","",""
"RP11-315D16.2","Unmatched","","","",""
"RP11-315D16.4","Unmatched","","","",""
"RP11-696L21.2","Unmatched","","","",""
"LINC00277","Previous symbol","EWSAT1","Ewing sarcoma associated transcript 1","HGNC:26596","15q23"
"RP11-151H2.1","Unmatched","","","",""
"CTD-2026K11.2","Unmatched","","","",""
"CTD-2026K11.4","Unmatched","","","",""
"CTD-2026K11.5","Unmatched","","","",""
"CTD-2026K11.1","Unmatched","","","",""
"CTD-2026K11.6","Unmatched","","","",""
"RP11-285A1.1","Unmatched","","","",""
"RP11-762H8.3","Unmatched","","","",""
"RP11-762H8.5","Unmatched","","","",""
"RP11-7M10.2","Unmatched","","","",""
"LINC00925","Previous symbol","MIR9-3HG","MIR9-3 host gene","HGNC:27388","15q26.1"
"RP11-617F23.1","Unmatched","","","",""
"CTD-2315E11.1","Unmatched","","","",""
"RP11-697E2.6","Unmatched","","","",""
"RP11-299G20.2","Unmatched","","","",""
"RP13-46H24.1","Unmatched","","","",""
"RP11-496I9.1","Unmatched","","","",""
"NS3BP","Unmatched","","","",""
"AP006621.6","Unmatched","","","",""
"PANO","Alias symbol","PANO1","proapoptotic nucleolar protein 1","HGNC:51237","11p15.5"
"AP006621.8","Unmatched","","","",""
"AP006477.1","Unmatched","","","",""
"AC068580.7","Unmatched","","","",""
"H19_1","Unmatched","","","",""
"H19_2","Unmatched","","","",""
"AC124057.5","Unmatched","","","",""
"KCNQ1OT1_2","Unmatched","","","",""
"KCNQ1OT1_3","Unmatched","","","",""
"KCNQ1OT1_5","Unmatched","","","",""
"RP11-732A19.2","Unmatched","","","",""
"RP11-732A19.9","Unmatched","","","",""
"RP11-732A19.5","Unmatched","","","",""
"RP11-732A19.6","Unmatched","","","",""
"CTD-2516F10.2","Unmatched","","","",""
"AC084117.3","Unmatched","","","",""
"AC044839.1","Unmatched","","","",""
"CTD-2210P24.6","Unmatched","","","",""
"AP000662.4","Unmatched","","","",""
"AP000442.1","Unmatched","","","",""
"RP11-881M11.1","Unmatched","","","",""
"RP11-855O10.2","Unmatched","","","",""
"RP11-810P12.7","Unmatched","","","",""
"RP11-864I4.3","Unmatched","","","",""
"RP11-831H9.3","Unmatched","","","",""
"RP11-831H9.11","Unmatched","","","",""
"METTL12","Previous symbol","CSKMT","citrate synthase lysine methyltransferase","HGNC:33113","11q12.3"
"AP000721.4","Unmatched","","","",""
"AP000721.1","Unmatched","","","",""
"RP11-21A7A.3","Unmatched","","","",""
"RP11-783K16.14","Unmatched","","","",""
"RP11-783K16.5","Unmatched","","","",""
"RP11-783K16.13","Unmatched","","","",""
"RP11-783K16.10","Unmatched","","","",""
"TEX40","Previous symbol","CATSPERZ","catsper channel auxiliary subunit zeta","HGNC:19231","11q13.1"
"AP001453.1","Unmatched","","","",""
"AP003774.1","Unmatched","","","",""
"AP001187.11","Unmatched","","","",""
"AP003068.9","Unmatched","","","",""
"AP003068.12","Unmatched","","","",""
"RP11-399J13.2","Unmatched","","","",""
"mascRNA-menRNA","Unmatched","","","",""
"CMB9-22P13.1","Unmatched","","","",""
"CMB9-22P13.2","Unmatched","","","",""
"AP000769.7","Unmatched","","","",""
"MALAT1","Approved symbol","MALAT1","metastasis associated lung adenocarcinoma transcript 1","HGNC:29665","11q13.1"
"SSSCA1-AS1","Previous symbol","ZNRD2-DT","ZNRD2 divergent transcript","HGNC:27384","11q13.1"
"SSSCA1","Previous symbol","ZNRD2","zinc ribbon domain containing 2","HGNC:11328","11q13.1"
"RP11-770G2.2","Unmatched","","","",""
"RP11-770G2.5","Unmatched","","","",""
"RP11-755F10.3","Unmatched","","","",""
"RP11-867G23.1","Unmatched","","","",""
"RP11-867G23.2","Unmatched","","","",""
"RP11-867G23.4","Unmatched","","","",""
"RP11-867G23.3","Unmatched","","","",""
"RP11-867G23.13","Unmatched","","","",""
"RP11-867G23.12","Unmatched","","","",""
"B3GNT1","Previous symbol","B4GAT1","beta-1,4-glucuronyltransferase 1","HGNC:15685","11q13.2"
"B3GNT1","Previous symbol","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","HGNC:15629","2p15"
"RP11-867G23.8","Unmatched","","","",""
"AP003419.16","Alias symbol","RPS6KB2-AS1","RPS6KB2 antisense RNA 1","HGNC:53744","11q13.2"
"RP11-655M14.13","Unmatched","","","",""
"AP003385.2","Unmatched","","","",""
"RP5-901A4.1","Unmatched","","","",""
"SUV420H1","Previous symbol","KMT5B","lysine methyltransferase 5B","HGNC:24283","11q13.2"
"RP11-757G1.6","Unmatched","","","",""
"RP11-660L16.2","Unmatched","","","",""
"AP002490.1","Unmatched","","","",""
"RP11-31L22.3","Unmatched","","","",""
"RP11-800A3.7","Unmatched","","","",""
"RP11-691F15.1","Unmatched","","","",""
"RP11-702H23.2","Unmatched","","","",""
"AP001372.2","Unmatched","","","",""
"RP11-712B9.2","Unmatched","","","",""
"RP11-315O6.1","Unmatched","","","",""
"RP11-315O6.2","Unmatched","","","",""
"AP000936.4","Unmatched","","","",""
"RP11-109L13.5","Unmatched","","","",""
"H2AFX","Previous symbol","H2AX","H2A.X variant histone","HGNC:4739","11q23.3"
"RP11-334E6.12","Alias symbol","THY1-AS1","THY1 antisense RNA 1","HGNC:54852","11q23.3"
"PVRL1","Previous symbol","NECTIN1","nectin cell adhesion molecule 1","HGNC:9706","11q23.3"
"CTD-2523D13.2","Unmatched","","","",""
"RP11-730K11.1","Unmatched","","","",""
"RP11-677M14.2","Unmatched","","","",""
"RP11-677M14.3","Unmatched","","","",""
"AP000866.2","Unmatched","","","",""
"RP11-677M14.7","Unmatched","","","",""
"RP11-713P17.3","Unmatched","","","",""
"RP11-713P17.4","Unmatched","","","",""
"RP11-440L14.1","Unmatched","","","",""
"RP11-460I19.2","Unmatched","","","",""
